Numeric ID	Display Name	Exercise	Description
156	Weaving	Weaving	Set up markers 5 yards wide in a zig-zag shape the length of the designated distance. Begin in an athletic position. Quickly run 5 yards to the left while facing forward, then switch directions and run to the right. Continue for the designated distance.
157	Box Drill	Box Drill	Set up 4 markers in a square shape. Begin at the bottom right marker. Run straight ahead to the top right marker, shuffle left to the top left marker, backpedal to the bottom left marker, then shuffle right to the starting marker. Repeat for the set number of reps.
158	Field Sprints	Field Sprints	Start on one end of the field and sprint 30 yards.
159	Field Bounds	Field Bounds	Start on one end of the field and bound forward 30 yards, extending the legs fully and swinging the arms with every step.
160	Plant & Cuts	Plant & Cuts	Set up 4 markers in a square shape. Begin at the bottom right marker and run straight ahead to the top of the box. Plant and cut to the left, heading toward the top left marker. Complete the box for one rep, planting and cutting to the left at each marker. Repeat in the opposite direction.
161	Leg Swings	Leg Swings	Use a wall for support if needed. Keep your torso straight as you swing your leg backward as far as you can, then swing it forward. Complete for the set number of reps.
162	Running Arm Cricles	Running Arm Cricles	Skip forward and swing your arms around in circles forward, then backward.
163	Low Lateral Squat	Low Lateral Squat	Begin in a wide-legged stance. Shift your weight to one side, bending that knee to descend into a deep squat. Stand back up into the starting position, then shift your weight to the other side. Complete for the set number of reps.
164	Lunge with Rotation	Lunge with Rotation	Step forward into a lunge, then rotate your torso to face the left, then rotate to face the right. Push up off your back leg to stand again. Step forward into a lunge with the other leg, and repeat.
165	Reverse Lunge with Reach	Reverse Lunge with Reach	Step backward into a lunge, then reach up with the arm on the same side of your back leg. Reach up and over your body to feel a stretch through your side. Push up with your front leg into a standing position, then repeat on the opposite side.
166	Quick Stance Changes	Quick Stance Changes	Begin in an athletic position with one foot in front of the other. Pivot your hips to switch your stance quickly, so the back foot is now in front. Repeat these stance switches quickly for the designated time.
167	Lateral Dives	Lateral Dives	Begin in an athletic position. Squat low and push off the ground with one foot, diving laterally in the opposite direction. Stand back up and repeat in the other direction. Be sure to complete this drill on grass to soften the landings from the dives.
168	Ankle Poppers	Ankle Poppers	Hop up and down on both feet, making sure the motion is coming from the ankle. Your knees should not be bending when you land on the ground. Repeat for the designated time.
169	Star Jumps	Star Jumps	Begin in a crouched position, then jump up and extend all of your limbs at the same time. When you land, immediately drop back into the crouched position, then repeat the jumps for the set number of reps.
170	DL Lateral Jumps	DL Lateral Jumps	Begin with feet shoulder-width apart. Jump laterally about 4 feet, landing with both feet on the ground. Immediately jump back to the starting position. Repeat for the set number of reps.
171	Single Leg Hop to Balance	Single Leg Hop to Balance	Begin standing on one leg. Jump forward and land on the same leg, maintaining your balance. Continue hopping forward for the set distance, then turn and jump the same distance on the opposite leg.
172	X Drill	X Drill	Set up 4 markers in a square shape. Begin at the bottom right marker. Run diagonally to the the top left marker, shuffle to the top right marker, backpedal to the bottom left marker, then shuffle right to the starting marker. Repeat for the set number of reps.
173	N Drill	N Drill	Set up 4 markers in a square shape. Begin at the bottom right marker. Run straight ahead to the the top right marker, backpedal to the bottom left marker, then run straight ahead to the top left marker. Repeat for the set number of reps.
174	Bear Crawls	Bear Crawls	Begin on your hands and knees. Lift your knees off the ground and crawl forward on your hands and toes. Crawl the designated distance, then crawl backward, leading with your feet.
175	Knee Hugs	Knee Hugs	Stand with your feet shoulder-width apart. Hug one knee as close as you can into your chest. Hold for 1-2 seconds, then release and repeat on the other side. Continue alternating for the designated time.
176	Quad Stretch w/ Toe Raise	Quad Stretch w/ Toe Raise	Lift one leg and grab your foot, bringing it toward your rear to stretch your quad. Rest your other hand on your hip, then stand up on your toes. Hold for 1-2 seconds, then release and repeat on the other side. Continue alternating for the designated time.
177	Frankensteins	Frankensteins	Take a step forward, then kick the opposite leg toward your opposte outstretched arm. Release back down, then repeat on the other leg as you walk forward.
178	Scorpions	Scorpions	Begin on your stomach with your arms in a T-shape. Bring your heel up toward your opposite arm, twisting your torso up but keeping your chest on the ground. Release to the ground and repeat on the other side.
179	Hip Circles	Hip Circles	Stand with your hands on your hips. Circle your hips clockwise, then counterclockwise.
180	Lateral Lunge with Arm Raise	Lateral Lunge with Arm Raise	Holding a resistance band, step out into a lateral lunge. As you descend into the lunge, bring your arms up over your head and pull against the resistance band. Release and go back to standing, then repeat on the other side.
181	Trunk Sidebending with Arm Raise	Trunk Sidebending with Arm Raise	Stand feet shoulder-width apart. Hold the resistance band and raise your arms over your head. Pull against the resistance as you bend to one side. Hold for 1-2 seconds, then release and repeat on the other side.
182	Squats with Toe Raise	Squats with Toe Raise	Stand feet slightly wider than shoulder-width. Squat with proper form then stand back up and go onto your toes. Repeat for the designated reps.
183	Jumping Lunges	Jumping Lunges	Begin in a lunged position. Jump up, then switch legs before you hit the ground. Continue to jump and switch legs with every rep.
184	Banded Calf Raises	Banded Calf Raises	Place a small resistance band around your ankles. Step out until you feel adequate resistance in the band. Stand up onto your toes to perform a calf raise against the resistance of the band. Repeat for the designated reps.
185	Standing Banded Oblique Twists	Standing Banded Oblique Twists	Place one end of a large resistance band around your foot, anchoring it to the ground. Grasp the other end of the band in your hands and pull up on the band, twisting your torso away from the foot holding the band down. Release and complete for the designated reps, then repeat on the other side.
186	Banded Plank Step-Outs	Banded Plank Step-Outs	Place a small resistance band around your ankles. Get into a plank position on your elbows, then step one foot out and back to center. Repeat on the other side. Complete for the designated reps, maintain the plank position throughout the exercise.
187	Lunge to Knee Drive	Lunge to Knee Drive	Stand feet shoulder-width apart. Step back into a lunge, then stand back up and drive the knee of the back leg up. Complete all of the designated reps on one side, then switch sides and repeat.
188	Single Leg V-Jumps	Single Leg V-Jumps	On one leg, hop diagonally to the right, then back to the starting position, then diagonally to the left, then back to the starting position. Complete for the designated amount of time, then repeat on the other side.
189	Single Leg Toe Touches	Single Leg Toe Touches	Balancing on one leg, keep your core tight as you reach down with the opposite arm and touch your toes. Extend your other leg out behind you as you reach down. Complete for the designated reps.
190	Star Drill	Star Drill	Set up 5 markers in a "plus" shape. Begin at the middle marker. Run to the top marker, shuffle diagonally to the leftmost marker, then run all the way across to the right most marker. Shuffle back diagonally to the bottom marker, then run back to start. Repeat for the designated reps.
191	Dot Drill	Dot Drill	Set up 5 markers in a small X shape. Begin at the top right marker. On one foot, hop from the top right to the top left, then to the middle, then to the bottom right, then finish at the bottom left. Hop back to start in backward order. Repeat on the other foot. Complete for the designated reps.
192	Triple Extension Max Jump	Triple Extension Max Jump	Stand feet slightly wider than shoulder-width. Perform a deep squat, swinging your arms back and then explode upward as high as you can. When you land, go straight back into a squat. Perform three of these jumps in a row before resting; this is one set. Complete the designated number of sets.
193	Side to Side Squat	Side to Side Squat	Stand with your feet shoulder-width apart. Perform a squat but shift your weight onto one side so your body is off-center. Come back to the starting position, then perform the squat on the other side. Repeat for the designated reps.
194	Squat Jumps	Squat Jumps	Stand feet slightly wider than shoulder-width. Squat with proper form then jump straight up, landing in the squat position. Continue for the designated reps.
195	Balance Back Kicks	Balance Back Kicks	Stand on one leg. Your other leg should be bent at the hip and knee. Lean forward and touch your toes, extending your raised leg behind you. Stand back up and drive your knee up, maintaining your balance. Complete for the designated reps on one side, then repeat on the other side.
196	Russian Twists	Russian Twists	Sit with your feet elevated off the floor, knees bent toward your torso. Twist the top half of your body toward one side and twist your knees in the other direction. Without putting your feet on the floor, switch sides. This is one rep. Continue for the designated reps.
197	V-Ups	V-Ups	Sit with your feet outstretched and your torso leaned back slightly. Bring your upper and lower body up, reaching up to touch your toes. Extend back all the way, keeping your feet elevated. Complete for the designated reps.
198	Leg Lifts	Leg Lifts	Lay down on your back. Keep your hands by your sides, engage your core, and lift your legs up as far as you can. Make sure your back stays flush with the ground as you lower your legs to the ground. Do not let your feet touch the floor between reps. Complete for the designated reps.
199	Tricep Dips	Tricep Dips	Place your hands on a box, feet on the ground as you hold your self up. Bend your elbows and allow your body to descend. Only use your arms to lift your body back up. Complete for the designated reps.
200	Mountain Climbers	Mountain Climbers	Begin in a plank position on your hands. Bring one knee in toward your chest. Switch legs quickly to complete one rep. Keep your back straight throughout the duration of the exercise.
201	Elevated Pushups	Elevated Pushups	Get into a pushup position with your hands on an elevated surface, ideally a box or bench. Perform a pushup regularly, keeping your back straight and your core tight.
202	Plank with Shoulder Taps	Plank with Shoulder Taps	Begin in a plank position on your hands. Alternate tapping your shoulders with the opposite arms. Be sure to keep your body in line and core tight as you move. Complete for the designated time.
203	A-Skips	A-Skips	Skip forward, driving your knee upward and keeping the other leg fully extended. Alternate legs, making sure to let both touch the ground in between skips.
204	B-Skips	B-Skips	Skip forward, kicking one leg out and keeping the other leg fully extended. Alternate legs, making sure to let both touch the ground in between skips.
205	Tuck Jumps	Tuck Jumps	Use your arms and legs to power your jump. Squat down, then explode upward. While in the air, try to bring your knees as close to your chest as possible before you land.
206	Frog Squat Jumps	Frog Squat Jumps	Stand feet wider than shoulder-width. Perform a deep squat, then push off the ground and jump upward as high as you can. When you land, go straight back into the deep squat.
207	Box Jumps	Box Jumps	Stand in front of a box. Bend your knees then jump onto the box, swinging your arms to generate more momentum. Be sure to land on the box with both feet at the same time, stabilizing your landing.
208	Plyometric Deadlifts	Plyometric Deadlifts	On one leg, bend forward with a straight back, reaching toward the floor. Jump upward, straightening through your spine and swinging your back leg forward. Be sure to maintain your stability when you land.
209	Box Hops	Box Hops	On one leg, hop forward, left, backward, and then right. Continue to hop in this square shape for the designated reps, then switch legs and repeat.
210	Lateral Triple Jumps	Lateral Triple Jumps	Stand on your right leg. Jump as far as you can to the right, landing on your right leg. Immediately jump forward as far as you can, landing on your left leg. Finally, jump forward as far as you can again, this time landing on both legs. Repeat the same process with your left leg, jumping left first.
211	Side Plank Stars	Side Plank Stars	Perform a side plank on your elbow. Extend through your top leg and lift it up, holding the position for 1-2 seconds. Be sure to maintain a tight core. Release back down, then repeat for the designated reps.
212	Push-up to Sprint	Push-up to Sprint	Start on your stomach, hands braced by your shoulders. Lift up into a plank position, then perform a pushup. Immediately hop your legs toward your hands, then sprint 10 yards.
213	Alternating Fast Claw	Alternating Fast Claw	Start with a slow jog, taking small steps. After a few steps, hike one leg up with a high knee drive and strike your foot back down quickly. Take a few more steps, then repeat on the other leg. Complete for the designated distance.
